Trip #,Post-trip,Outside temp ?C,Inside Temp ?C,Blue score,Distance Since start Km,Average Speed Since start Km/hr,Time Since start (includes key on),Economy Since start Kwh/100km,range indicator Km,Brake Mode,Climate control usage,Road style,Reset Meters,"                       Notes: Driving area, warnings, reminders, incedents, issues, feeling"
244,Y,-18,26,95,11,26,:26,37.7,57,D1,Y,City ,Y,
245,Y,-24.5,11,70,18,63,:17,31.5,33,D1,Y,Highway,Y,Went to eco mode at 52km range. I swithched it back to nomal mode
246,Y,-28.5,2,83,17,55,:19,30.3,47,D1,Y,Highway,Y,Felt cool in the car this morning could be that the drive was -33.5 for most of the drive
247,Y,-27,-1,93,3,27,:08,47.6,42,D1,Y,City ,Y,
248,Y,-26.5,-5.5,88,2,27,:05,42.6,40,D1,Y,City ,Y,I have been switching eco mode off when it switches back to nomal all the time now
249,Y,-17.5,5.5,86,3,31,:06,42.6,42,D1,Y,City ,Y,Drastic change in the car displayed data during this trip???
250,Y,-17,16.5,95,3,23,:08,42,51,D1,Y,City ,Y,
251,Y,-17,21,82,5,37,:08,34.2,46,D1,Y,City/Highway,Y,
252,Y,-17,16,97,4,18,:16,46.2,42,D1,Y,City ,Y,
253,Y,-20,20,80,15,43,:21,29.9,28,D1,Y,Highway,Y,
254,Y,-22.5,13,87,17,59,:17,28,51,D1,Y,Highway,Y,
255,Y,-15,7,90,17,46,:22,27.1,74,D1,Y,Highway,Y,
256,Y,-20,5,76,15,55,:16,30.9,92,D1,Y,Highway,Y,
257,Y,-17.5,20.5,82,15,47,:19,34,73,D1,Y,Highway,Y,
258,Y,-16.5,9,85,17,56,:18,28.5,97,D1,Y,Highway,Y,
259,Y,-12,16.5,81,17,54,:19,24.7,113,D1,Y,Highway,Y,
260,Y,-31.5,7,86,17,43,:24,35.4,85,D1,Y,Highway,Y,Most of the trip the outside gauge -35
261,Y,-30.5,-6,90,3,21,:10,47.6,80,D1,Y,Highway,Y,
262,Y,-29,4.5,82,3,22,:09,55.3,71,D1,Y,City ,Y,
263,Y,-23.5,19,83,20,34,:35,35.9,67,D1,Y,City/Highway,Y,
264,Y,-23,5,78,17,50,:21,31.7,85,D1,Y,Highway,Y,
265,Y,-21.5,15.5,84,17,41,:25,34,88,D1,Y,Highway,Y,
266,Y,-23.5,5,86,17,48,:22,30.1,92,D1,Y,Highway,Y,
267,Y,-9.5,5,96,0,11,:03,45.1,122,D1,Y,City ,Y,From now on will be using the IT inside temp sensor and continue with Vehicle outside sensor
268,Y,-13.5,19,84,17,38,:27,24.8,104,D1,Y,Highway,Y,"Outside temp- underhood by 12v battery, Inside temp and humidity grab handle above dr door"
269,Y,-14.5,11.5,82,17,58,:18,25,108,D1,Y,Highway,Y,
270,Y,-8,17.5,78,17,55,:19,21.7,104,D1,Y,Highway,Y,
271,Y,-14.5,12,84,17,46,:22,27.3,107,D1,Y,Highway,Y,
272,Y,-22.5,16.5,78,21,34,:38,38.3,60,0,Y,City/Highway,Y,includes waiting in drive though
273,Y,-26.55,2.5,80,17,56,:18,30.2,90,D1,Y,Highway,Y,
274,Y,-24.5,7,76,17,60,:17,33.6,67,D1,Y,Highway,Y,
275,Y,-23,13,78,17,63,:16,27.6,55,D1,Y,Highway,Y,
